title,release_date,runtime,budget,revenue,original_language,rating,num_votes
Death Proof,2007-05-21,113,25000000,25037897,en,7.0,256139
Death Race,2008-08-22,105,45000000,73762516,en,6.3,191766
Death at a Funeral,2007-08-17,90,9,8,en,7.4,105038
Deep Blue Sea,1999-07-28,105,60000000,73648228,en,5.8,118810
Deep Impact,1998-05-08,120,75000000,349464664,en,6.2,155193
Deepwater Horizon,2016-09-29,107,110000000,121790373,en,7.1,140413
Defiance,2008-12-31,137,32000000,51155219,en,7.2,132938
Demolition Man,1993-10-08,115,57000000,159055768,en,6.7,150510
Desperado,1995-08-25,104,7000000,25405445,en,7.2,164794
Despicable Me,2010-07-08,95,69000000,543513985,en,7.6,479223
Despicable Me 2,2013-06-25,98,76000000,970761885,en,7.3,354881
Despicable Me 3,2017-06-15,96,80000000,1031552585,en,6.3,102029
Devil,2010-01-13,80,10000000,33583175,en,6.2,124855
Dial M for Murder,1954-05-29,105,1400000,3000000,en,8.2,146382
Die Another Day,2002-11-17,133,140000000,431971116,en,6.1,196730
Die Hard,1988-07-15,131,28000000,140767956,en,8.2,748573
Die Hard 2,1990-07-02,124,70000000,240031094,en,7.2,322465
Die Hard: With a Vengeance,1995-05-19,128,90000000,366101666,en,7.6,349960
Dirty Dancing,1987-08-21,100,6000000,213893795,en,7.0,187453
Dirty Grandpa,2016-01-21,102,11500000,94073028,en,5.9,106698
Dirty Harry,1971-12-21,102,10000000,35976000,en,7.7,135977
District 9,2009-08-05,112,30000000,210819611,en,7.9,618501
Disturbia,2007-04-12,105,20000000,117760134,en,6.8,211647
Django Unchained,2012-12-25,165,100000000,425368238,en,8.4,1268957
Doctor Strange,2016-10-25,115,165000000,677700000,en,7.5,553786
DodgeBall: A True Underdog Story,2004-06-18,92,20000000,167722310,en,6.7,219731
Dog Day Afternoon,1975-08-11,125,1800000,46665856,en,8.0,224465
Dogma,1999-11-12,130,10000000,30652890,en,7.3,202541
Dogville,2003-05-19,178,10000000,16680836,en,8.0,130669
Don't Breathe,2016-06-08,89,9900000,159047649,en,7.1,200763
Donnie Brasco,1997-02-27,127,35000000,41954997,en,7.7,262417
Donnie Darko,2001-01-18,114,6000000,1270522,en,8.0,714154
Doom,2005-10-20,105,60000000,55987321,en,5.2,102516
Double Indemnity,1944-07-03,108,927262,2500000,en,8.3,133944
Doubt,2008-11-27,104,20000000,50907234,en,7.5,116893
Downfall,2004-09-08,156,18339750,92180910,de,8.2,315524
Dr. No,1962-10-07,110,950000,59600000,en,7.3,138778
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,95,1800000,9440272,en,8.4,428600
Dracula,1992-11-13,128,40000000,215862692,en,7.4,181457
Dracula Untold,2014-10-01,92,70000000,217124280,en,6.3,170154
Drag Me to Hell,2009-03-15,99,30000000,90810892,en,6.5,181377
Dredd,2012-09-07,95,50000000,41037742,en,7.1,240843
Drive,2011-08-06,100,15000000,78054825,en,7.8,541323
"Dude, Where's My Car?",2000-12-15,83,13000000,73180723,en,5.5,130893
Due Date,2010-11-04,95,65000000,211780824,en,6.5,311771
Dumb and Dumber,1994-12-16,107,16000000,247275374,en,7.3,338529
Dumb and Dumber To,2014-11-12,110,40000000,169837010,en,5.6,122851
Dumbo,1941-10-22,64,812000,1600000,en,7.2,113063
Dune,1984-12-14,137,40000000,30925690,en,6.5,115338
Dunkirk,2017-07-19,107,100000000,525573161,en,7.9,500895
Déjà Vu,2006-11-22,126,75000000,180557550,en,7.0,282771
E.T. the Extra-Terrestrial,1982-06-11,115,10500000,792965326,en,7.8,350969
Eastern Promises,2007-09-14,100,51500000,56106607,en,7.6,219125
Easy A,2010-09-16,93,8000000,74952305,en,7.1,341009
Ed Wood,1994-09-27,127,18000000,5887457,en,7.8,160357
Edge of Tomorrow,2014-05-27,113,178000000,370541256,en,7.9,567754
Edward Scissorhands,1990-12-05,105,20000000,53000000,en,7.9,427071
Elf,2003-10-09,97,32000000,173398518,en,6.9,207006
